
# R11treat.dat
#
# This is a processed and treated version of the Cepheid and redshift datas from R11.
# (Riess et al. 2011 [R11], ApJ, 730, 119, Table 2)
#
# The description of each column can be found in the R11treat_info.txt file.
#

id	gal	z	dL	M	Merr	m	merr	P	logP	logO_H	bias	Pivot
10540	3370	0.004266	18.282857142857143	-6.714620329094075	0.35	24.5956	0.35	21.79	1.3382572302462556	-3.31	0.17	1.4741253668998888
8807	3370	0.004266	18.282857142857143	-5.96072032909408	0.45	25.3495	0.45	23.72	1.375114684692225	-3.08	0.58	1.4741253668998888
47494	3370	0.004266	18.282857142857143	-7.390420329094077	0.45	23.9198	0.45	24.43	1.3879234669734368	-3.23	0.16	1.4741253668998888
23575	3370	0.004266	18.282857142857143	-5.955620329094074	0.23	25.3546	0.23	24.45	1.388278863459639	-3.42	0.13	1.4741253668998888
53228	3370	0.004266	18.282857142857143	-5.6028203290940795	0.24	25.7074	0.24	24.73	1.3932241163612973	-3.57	0.07	1.4741253668998888
23818	3370	0.004266	18.282857142857143	-6.536620329094077	0.53	24.7736	0.53	26.33	1.420450859106068	-3.06	0.66	1.4741253668998888
22838	3370	0.004266	18.282857142857143	-6.560220329094079	0.31	24.75	0.31	26.38	1.4212747912103465	-3.34	0.07	1.4741253668998888
81239	3370	0.004266	18.282857142857143	-6.894920329094077	0.59	24.4153	0.59	26.42	1.4219328132785085	-3.05	0.93	1.4741253668998888
39583	3370	0.004266	18.282857142857143	-7.199720329094077	0.61	24.1105	0.61	26.87	1.4292676664331685	-3.16	0.75	1.4741253668998888
48470	3370	0.004266	18.282857142857143	-6.138920329094077	0.27	25.1713	0.27	27.35	1.4369573306694496	-3.45	0.17	1.4741253668998888
5744	3370	0.004266	18.282857142857143	-6.414820329094077	0.49	24.8954	0.49	27.74	1.443106456737266	-3.17	0.54	1.4741253668998888
51334	3370	0.004266	18.282857142857143	-4.832020329094078	0.62	26.4782	0.62	28.79	1.459241664878082	-3.39	0.26	1.4741253668998888
4531	3370	0.004266	18.282857142857143	-6.34022032909408	0.29	24.97	0.29	29.23	1.4658288153574364	-3.29	0.18	1.4741253668998888
62219	3370	0.004266	18.282857142857143	-6.605320329094077	0.58	24.7049	0.58	29.43	1.468790262099611	-3.11	0.39	1.4741253668998888
46992	3370	0.004266	18.282857142857143	-6.279720329094076	0.68	25.0305	0.68	29.6	1.4712917110589385	-3.28	0.17	1.4741253668998888
51430	3370	0.004266	18.282857142857143	-7.186620329094076	0.23	24.1236	0.23	30.43	1.4833019523581672	-3.38	0.11	1.4741253668998888
27556	3370	0.004266	18.282857142857143	-6.356120329094075	0.23	24.9541	0.23	30.69	1.4869968884318225	-3.3	0.13	1.4741253668998888
19943	3370	0.004266	18.282857142857143	-7.419520329094077	0.81	23.8907	0.81	30.8	1.4885507165004443	-3.03	0.85	1.4741253668998888
13380	3370	0.004266	18.282857142857143	-7.94872032909408	0.79	23.3615	0.79	31.74	1.5016069224188293	-2.95	1.29	1.4741253668998888
15081	3370	0.004266	18.282857142857143	-6.690420329094074	0.26	24.6198	0.26	32.56	1.5126843962171637	-3.2	0.12	1.4741253668998888
18200	3370	0.004266	18.282857142857143	-7.229420329094076	0.42	24.0808	0.42	32.86	1.5166675590990428	-3.12	0.17	1.4741253668998888
26416	3370	0.004266	18.282857142857143	-7.118120329094076	0.5	24.1921	0.5	33.4	1.5237464668115646	-3.02	0.34	1.4741253668998888
52428	3370	0.004266	18.282857142857143	-6.932520329094075	0.2	24.3777	0.2	33.48	1.5247854493212223	-3.46	0.01	1.4741253668998888
31439	3370	0.004266	18.282857142857143	-6.440220329094075	0.34	24.87	0.34	33.49	1.5249151475398668	-3.24	0.24	1.4741253668998888
17886	3370	0.004266	18.282857142857143	-7.472720329094081	0.52	23.8375	0.52	33.56	1.5258219521566627	-2.87	1.48	1.4741253668998888
