4095782655730995968   7.28876 FU 12.21 10.66  9.75  9.20  7.29  6.56  6.36 A  1.19  0.15 R21  0.06 0.04 0.05 0.04 0.05 0.06  0.04  0.07  0.11
4096341040228858240   9.76196 FU 11.18  9.93  9.15  8.72  7.05  6.37  6.22 A  0.85  0.05 R21  0.07 0.06 0.06 0.06 0.05 0.07  0.05  0.08  0.11
4103989346187406464   5.54477 FU 11.31 10.15  9.53  9.10  7.71  7.16  7.04 A  0.72  0.36 R21  0.07 0.06 0.04 0.06 0.05 0.05  0.04  0.07  0.14
4104857784196182400   4.19836 FU 10.48  9.55  9.00  8.62  7.31  6.77  6.71 A  0.61  0.05 R21  0.07 0.04 0.04 0.08 0.06 0.08  0.05  0.10  0.11
4116471792510901248   3.77967 FO  9.93  8.96  8.35  7.88  6.56  6.02  5.89 B  0.68  0.23 R21  0.05 0.03 0.03 0.03 0.10 0.09  0.09  0.07  0.15
4145697876614018048   9.01022 FU 12.70 11.00 10.01  9.41  7.49  6.83  6.61 A  1.22  0.11 R21  0.06 0.04 0.04 0.04 0.09 0.05  0.04  0.07  0.12
4153177128348076032   5.76308 FU 13.48 11.78 10.73 10.02  7.99  7.26  7.03 A  1.38  0.21 T22  0.05 0.05 0.07 0.06 0.10 0.07  0.06  0.07  0.17
4153413252782596864  24.33813 FU 13.53 11.35 10.05  9.20  6.87  5.89  5.53 A  1.59  0.11 R21  0.06 0.03 0.05 0.05 0.06 0.06  0.05  0.07  0.11
4153415176928480896   3.79408 FO 11.99 10.63  9.76  9.11  7.58  6.91  6.79 A  1.04  0.22 R21  0.07 0.03 0.04 0.06 0.05 0.05  0.03  0.07  0.15
4154758024243120640   3.05758 FO 11.17 10.06  9.33  8.91  7.58  7.06  6.93 A  0.77  0.04 R21  0.07 0.03 0.04 0.04 0.04 0.05  0.04  0.07  0.11
4155550943909053696   2.58996 FO 12.20 10.86 10.03  9.50  8.03  7.44  7.29 A  1.01  0.16 R21  0.07 0.02 0.06 0.06 0.06 0.04  0.03  0.07  0.11
4156537721224120832  13.20251 FU 17.96 14.81 12.78 11.52  8.64  7.53  7.08 A 99.90 99.90 ---  0.14 0.07 0.03 0.06 0.02 0.08  0.03 99.90 99.90
4157780096333716864   5.12173 FU 99.90 11.13  9.98  9.21  7.55  6.79  6.54 B  1.38  0.10 RVS 99.90 0.05 0.06 0.07 0.05 0.06  0.05  0.07  0.50
4251790264655670272  23.34598 FU 15.05 13.07 11.93 11.20  9.36  8.64  8.33 A  1.33 99.90 ---  0.04 0.05 0.05 0.06 0.03 0.04  0.04  0.07 99.90
4256464464696335616   3.10233 FO 11.56 10.28  9.42  8.90  7.51  6.92  6.78 A  0.97  0.20 R21  0.07 0.03 0.04 0.04 0.04 0.05  0.05  0.07  0.11
4256467552765653376a 35.82285 FU 16.30 13.37 11.62 10.39  7.87  6.82  6.43 A 99.90  0.00 T22  0.12 0.06 0.06 0.07 0.06 0.11  0.08 99.90  0.20
4256655397447716992a  9.89072 FU 16.32 13.79 12.20 11.08  8.86  7.90  7.53 A  2.09 99.90 ---  0.09 0.06 0.08 0.06 0.04 0.04  0.04  0.08 99.90
4266208813461315072   8.79610 FU 12.77 11.22 10.28  9.70  8.10  7.49  7.28 A  1.11  0.55 R21  0.07 0.04 0.05 0.05 0.05 0.06  0.04  0.12  0.10
4266218129306491520  65.17418 FU 11.19  9.34  8.29  7.65  5.74  4.97  4.80 B  1.10 -0.07 R21  0.06 0.03 0.04 0.03 0.06 0.12  0.09  0.07  0.11
4266692912125634048  44.41435 FU 99.90 16.22 13.46 11.60  7.89  6.27  5.65 C 99.90 99.90 --- 99.90 0.05 0.05 0.07 0.03 0.11  0.10 99.90 99.90
4268198624632052352   1.25772 FO 11.82 10.98 10.46 10.21  9.02  8.61  8.52 B  0.60  0.13 K21  0.06 0.05 0.06 0.06 0.07 0.05  0.05  0.07  0.08
4276605524839659776  21.01683 FU 15.53 13.76 12.62 11.86 10.09  9.32  8.97 A  1.24 -1.66 RVS  0.04 0.07 0.03 0.07 0.04 0.05  0.04  0.08  0.50
4278570592634887552a  4.40050 FU 99.90 10.58  9.37  8.63  6.98  6.23  6.06 B  1.48  0.14 R21 99.90 0.06 0.05 0.13 0.07 0.09  0.06  0.10  0.1
4281590774975851776  19.87747 FU 99.90 15.73 13.13 11.34  7.87  6.38  5.75 B 99.90 99.90 --- 99.90 0.05 0.08 0.04 0.03 0.12  0.11 99.90 99.9
4285878256152184832  18.99253 FU 13.48 11.50 10.22  9.21  7.17  6.23  5.88 A  1.60  0.17 T22  0.10 0.03 0.06 0.14 0.05 0.05  0.07  0.08  0.17
4311868065374060416  20.06393 FU 15.00 13.61 12.82 12.30 10.81 10.21  9.95 A  0.87  0.10 RVS  0.07 0.05 0.03 0.06 0.05 0.03  0.04  0.13  0.50
4313067181547804160  20.80525 FU 15.00 12.99 11.83 11.04  9.11  8.29  7.95 A  1.44 99.90 ---  0.04 0.06 0.06 0.03 0.05 0.06  0.04  0.08 99.90
4314923363333177984   6.69717 FU 13.45 12.55 12.06 11.78 10.63 10.21 10.02 A  0.49  0.24 RVS  0.03 0.03 0.03 0.03 0.05 0.05  0.06  0.07  0.26
4319018739208020096   8.62754 FU 11.19  9.63  8.71  8.10  6.41  5.72  5.51 A  1.15  0.31 R21  0.03 0.02 0.04 0.03 0.05 0.05  0.04  0.07  0.14
4319599865468760832   2.97314 FO 11.57 10.38  9.45  8.88  7.46  6.89  6.70 A  1.03  0.03 R21  0.10 0.05 0.05 0.06 0.04 0.04  0.03  0.07  0.15
4322042018277743616a 23.55728 FU 13.03 11.19  9.52  8.62  6.48  5.30  4.95 C  1.85 99.90 ---  0.04 0.03 0.04 0.03 0.05 0.10  0.08  0.07 99.90
4513100717859042176   3.26972 FU 14.54 13.51 12.91 12.55 11.35 10.87 10.68 A  0.69 99.90 ---  0.07 0.04 0.06 0.05 0.04 0.04  0.08  0.07 99.90
5306782361701536128   4.86250 FU 14.80 13.95 13.43 13.14 11.91 11.42 11.21 A  0.54 -0.41 T22  0.06 0.05 0.06 0.06 0.05 0.05  0.08  0.07  0.13
5310669788148987520  13.11900 FU 15.02 13.82 13.10 12.70 11.16 10.56 10.28 A  0.78 -0.41 T22  0.15 0.06 0.08 0.05 0.07 0.06  0.08  0.07  0.14
5516452460238707968   3.37275 FU 15.08 14.30 13.80 13.52 12.29 11.79 11.58 A  0.55 -0.51 T22  0.08 0.05 0.05 0.08 0.08 0.08  0.11  0.07  0.17
5533237604747205120   1.50255 FO 14.46 13.96 13.66 13.47 12.45 12.14 12.03 B  0.30 -0.74 T22  0.03 0.02 0.03 0.06 0.05 0.05  0.14  0.07  0.15
5538569613358406144  10.50166 FU 13.56 12.65 12.14 11.82 10.50  9.95  9.79 A  0.50 -0.58 T22  0.13 0.07 0.06 0.08 0.09 0.09  0.08  0.07  0.10
5543722994310379136   2.03968 FO 15.04 14.36 13.94 13.68 12.50 12.13 12.02 B  0.45 -0.69 T22  0.10 0.04 0.04 0.13 0.10 0.08  0.15  0.07  0.15
5586922973654572416  13.76800 FU 13.29 12.23 11.65 11.37  9.92  9.32  9.15 A  0.58 -0.34 T22  0.04 0.04 0.08 0.05 0.07 0.04  0.05  0.07  0.12
5599120204043561600   1.74849 FO 14.16 13.58 13.24 13.07 12.04 11.65 11.55 A  0.36 -0.67 T22  0.07 0.05 0.04 0.06 0.08 0.06  0.12  0.07  0.14
5613685331497869312   2.75980 FO 14.98 14.00 13.39 13.04 11.60 11.01 10.83 A  0.75 -0.48 T22  0.05 0.05 0.04 0.08 0.06 0.06  0.09  0.07  0.15
5614916921960857088   7.95944 FU 15.91 14.70 13.88 13.42 11.75 11.09 10.78 A  0.98 -0.69 T22  0.09 0.06 0.07 0.07 0.09 0.08  0.11  0.07  0.13
5718755624717348096   2.62978 FO 11.68 11.30 11.03 10.87  9.95  9.70 99.90 C  0.15 -0.41 R21  0.05 0.03 0.03 0.06 0.08 0.07 99.90  0.07  0.15
5718760258978008320   4.70104 FU 10.55 10.02  9.77  9.57  8.59  8.19  8.06 A  0.22 -0.18 R21  0.04 0.03 0.04 0.06 0.05 0.04  0.04  0.07  0.10
5816040928949504384   0.96811 FO 13.61 13.34 13.14 13.03 12.26 11.96 11.88 B  0.09 99.90 ---  0.06 0.04 0.03 0.06 0.07 0.06  0.12  0.07 99.90
5942521668514052608  13.00491 FU 13.99 12.07 10.97 10.23  8.25  7.47  7.17 A  1.46  0.17 T22  0.08 0.06 0.06 0.07 0.06 0.07  0.06  0.09  0.19
5961108152344971776  24.13011 FU 14.45 13.27 12.65 12.24 10.94 10.42 10.20 B  0.54 99.90 ---  0.14 0.10 0.10 0.06 0.05 0.04  0.07  0.09 99.90
6024586192749015808a 27.32365 FU 13.13 11.65  9.59  8.66  6.38  5.40  5.04 B  2.19 99.90 ---  0.09 0.03 0.05 0.05 0.04 0.06  0.04  0.07 99.90
6028122119165853440  15.63670 FU 14.46 13.42 12.88 12.38 11.32 10.83 10.65 A  0.53 99.90 ---  0.06 0.05 0.06 0.10 0.05 0.05  0.06  0.07 99.90
